mode,model,constraint,rank,tau,opto_intensity,perturbation,light,PSTH_r,Brain_FID,trial_R2
freerun,lowBio,dale,3,5,0.1,pulse,1.3,0.017,81.722,-4.376
freerun,lowBio,dale,3,5,0.1,pulse,1.7,0.014,80.276,-1.406
freerun,lowBio,dale,3,5,0.1,pulse,2.0,0.022,60.869,-1.270
freerun,lowBio,dale,3,5,0.1,raised_cosine,1.3,0.030,37.886,-1.584
freerun,lowBio,dale,3,5,0.1,raised_cosine,1.7,0.055,59.511,-0.525
freerun,lowBio,dale,3,5,0.1,raised_cosine,2.0,0.077,58.531,-0.557
freerun,lowBio,dale,3,5,1.0,baseline,,0.001,24.767,-0.634
freerun,lowBio,dale,3,5,1.0,sham,,0.001,99.359,-3.980
freerun,lowBio,dale,3,5,1.0,fast_pulses,1.3,0.005,23.183,-1.334
freerun,lowBio,dale,3,5,1.0,fast_pulses,1.7,0.037,90.243,-0.944
freerun,lowBio,dale,3,5,1.0,fast_pulses,2.0,0.066,165.113,-1.223
freerun,lowBio,dale,3,5,1.0,pulse,1.3,0.022,56.970,-2.837
freerun,lowBio,dale,3,5,1.0,pulse,1.7,0.030,65.123,-1.028
freerun,lowBio,dale,3,5,1.0,pulse,2.0,0.030,73.732,-1.655
freerun,lowBio,dale,3,5,1.0,raised_cosine,1.3,0.030,39.649,-1.791
freerun,lowBio,dale,3,5,1.0,raised_cosine,1.7,0.040,56.499,-0.458
freerun,lowBio,dale,3,5,1.0,raised_cosine,2.0,0.060,56.672,-0.494
freerun,lowBio,unconstrained,1,2,0.01,baseline,,-0.001,12.088,0.108
freerun,lowBio,unconstrained,1,2,0.01,sham,,-0.003,42.692,-1.247
freerun,lowBio,unconstrained,1,2,0.01,fast_pulses,1.3,-0.005,46.341,-3.454
freerun,lowBio,unconstrained,1,2,0.01,fast_pulses,1.7,-0.000,62.434,-0.412
freerun,lowBio,unconstrained,1,2,0.01,fast_pulses,2.0,0.002,95.549,-0.334
freerun,lowBio,unconstrained,1,2,0.01,pulse,1.3,-0.000,26.922,-0.977
freerun,lowBio,unconstrained,1,2,0.01,pulse,1.7,-0.002,51.420,-0.601
freerun,lowBio,unconstrained,1,2,0.01,pulse,2.0,0.006,56.107,-1.037
freerun,lowBio,unconstrained,1,2,0.01,raised_cosine,1.3,-0.005,40.187,-1.661
freerun,lowBio,unconstrained,1,2,0.01,raised_cosine,1.7,0.024,49.565,-0.303
freerun,lowBio,unconstrained,1,2,0.01,raised_cosine,2.0,-0.061,53.647,-0.402
freerun,lowBio,unconstrained,1,2,0.1,baseline,,0.012,8.895,0.266
freerun,lowBio,unconstrained,1,2,0.1,sham,,-0.002,48.781,-1.516
freerun,lowBio,unconstrained,1,2,0.1,fast_pulses,1.3,0.003,74.730,-5.859
freerun,lowBio,unconstrained,1,2,0.1,fast_pulses,1.7,-0.031,67.542,-0.495
freerun,lowBio,unconstrained,1,2,0.1,fast_pulses,2.0,-0.029,74.908,-0.073
freerun,lowBio,unconstrained,1,2,0.1,pulse,1.3,-0.013,44.444,-1.994
freerun,lowBio,unconstrained,1,2,0.1,pulse,1.7,-0.015,65.503,-0.956
freerun,lowBio,unconstrained,1,2,0.1,pulse,2.0,-0.012,43.716,-0.666
freerun,lowBio,unconstrained,1,2,0.1,raised_cosine,1.3,-0.029,95.061,-4.915
freerun,lowBio,unconstrained,1,2,0.1,raised_cosine,1.7,-0.012,81.554,-1.074
freerun,lowBio,unconstrained,1,2,0.1,raised_cosine,2.0,-0.018,77.292,-1.031
freerun,lowBio,unconstrained,1,2,1.0,baseline,,0.000,11.070,0.169
freerun,lowBio,unconstrained,1,2,1.0,sham,,0.006,51.404,-1.656
freerun,lowBio,unconstrained,1,2,1.0,fast_pulses,1.3,-0.012,202.100,-16.969
freerun,lowBio,unconstrained,1,2,1.0,fast_pulses,1.7,-0.029,93.391,-1.025
freerun,lowBio,unconstrained,1,2,1.0,fast_pulses,2.0,-0.025,100.736,-0.396
freerun,lowBio,unconstrained,1,2,1.0,pulse,1.3,-0.022,65.379,-3.232
freerun,lowBio,unconstrained,1,2,1.0,pulse,1.7,-0.031,60.492,-0.810
freerun,lowBio,unconstrained,1,2,1.0,pulse,2.0,-0.026,79.976,-1.853
freerun,lowBio,unconstrained,1,2,1.0,raised_cosine,1.3,-0.010,30.156,-1.083
freerun,lowBio,unconstrained,1,2,1.0,raised_cosine,1.7,-0.016,36.826,-0.013
freerun,lowBio,unconstrained,1,2,1.0,raised_cosine,2.0,-0.015,44.567,-0.183
freerun,lowBio,unconstrained,1,5,0.01,baseline,,-0.006,5.844,0.451
freerun,lowBio,unconstrained,1,5,0.01,sham,,0.004,33.685,-0.824
freerun,lowBio,unconstrained,1,5,0.01,fast_pulses,1.3,-0.004,57.481,-4.425
freerun,lowBio,unconstrained,1,5,0.01,fast_pulses,1.7,-0.013,48.649,-0.146
freerun,lowBio,unconstrained,1,5,0.01,fast_pulses,2.0,-0.013,63.273,0.093
freerun,lowBio,unconstrained,1,5,0.01,pulse,1.3,-0.003,23.434,-0.745
freerun,lowBio,unconstrained,1,5,0.01,pulse,1.7,0.007,24.833,0.157
freerun,lowBio,unconstrained,1,5,0.01,pulse,2.0,-0.004,38.656,-0.488
freerun,lowBio,unconstrained,1,5,0.01,raised_cosine,1.3,-0.005,30.506,-1.086
freerun,lowBio,unconstrained,1,5,0.01,raised_cosine,1.7,-0.007,48.635,-0.294
freerun,lowBio,unconstrained,1,5,0.01,raised_cosine,2.0,-0.058,62.595,-0.636
freerun,lowBio,unconstrained,1,5,0.1,baseline,,0.005,6.100,0.445
freerun,lowBio,unconstrained,1,5,0.1,sham,,0.007,31.916,-0.743
freerun,lowBio,unconstrained,1,5,0.1,fast_pulses,1.3,-0.018,90.385,-7.305
freerun,lowBio,unconstrained,1,5,0.1,fast_pulses,1.7,-0.026,64.945,-0.453
freerun,lowBio,unconstrained,1,5,0.1,fast_pulses,2.0,-0.034,67.686,0.010
freerun,lowBio,unconstrained,1,5,0.1,pulse,1.3,-0.006,60.456,-2.963
freerun,lowBio,unconstrained,1,5,0.1,pulse,1.7,-0.021,33.798,-0.095
freerun,lowBio,unconstrained,1,5,0.1,pulse,2.0,-0.025,34.087,-0.330
freerun,lowBio,unconstrained,1,5,0.1,raised_cosine,1.3,-0.044,209.253,-11.549
freerun,lowBio,unconstrained,1,5,0.1,raised_cosine,1.7,-0.089,224.331,-4.428
freerun,lowBio,unconstrained,1,5,0.1,raised_cosine,2.0,-0.120,222.205,-4.425
freerun,lowBio,unconstrained,1,5,1.0,baseline,,0.000,10.115,0.226
freerun,lowBio,unconstrained,1,5,1.0,sham,,-0.003,32.522,-0.767
freerun,lowBio,unconstrained,1,5,1.0,fast_pulses,1.3,-0.008,553.196,-47.573
freerun,lowBio,unconstrained,1,5,1.0,fast_pulses,1.7,-0.067,441.108,-7.992
freerun,lowBio,unconstrained,1,5,1.0,fast_pulses,2.0,-0.068,427.803,-4.646
freerun,lowBio,unconstrained,1,5,1.0,pulse,1.3,-0.041,355.674,-20.213
freerun,lowBio,unconstrained,1,5,1.0,pulse,1.7,-0.059,326.728,-7.951
freerun,lowBio,unconstrained,1,5,1.0,pulse,2.0,-0.054,424.379,-12.896
freerun,lowBio,unconstrained,1,5,1.0,raised_cosine,1.3,-0.060,552.971,-31.289
freerun,lowBio,unconstrained,1,5,1.0,raised_cosine,1.7,-0.081,543.566,-11.885
freerun,lowBio,unconstrained,1,5,1.0,raised_cosine,2.0,-0.102,533.225,-11.786
freerun,lowBio,unconstrained,2,2,0.01,baseline,,0.001,8.240,0.330
freerun,lowBio,unconstrained,2,2,0.01,sham,,0.004,41.397,-1.186
freerun,lowBio,unconstrained,2,2,0.01,fast_pulses,1.3,-0.005,71.309,-5.639
freerun,lowBio,unconstrained,2,2,0.01,fast_pulses,1.7,0.006,27.436,0.299
freerun,lowBio,unconstrained,2,2,0.01,fast_pulses,2.0,-0.004,57.503,0.167
freerun,lowBio,unconstrained,2,2,0.01,pulse,1.3,0.007,30.096,-1.160
freerun,lowBio,unconstrained,2,2,0.01,pulse,1.7,-0.004,26.851,0.092
freerun,lowBio,unconstrained,2,2,0.01,pulse,2.0,-0.002,39.860,-0.566
freerun,lowBio,unconstrained,2,2,0.01,raised_cosine,1.3,-0.014,49.625,-2.225
freerun,lowBio,unconstrained,2,2,0.01,raised_cosine,1.7,-0.011,50.762,-0.331
freerun,lowBio,unconstrained,2,2,0.01,raised_cosine,2.0,-0.032,41.267,-0.137
freerun,lowBio,unconstrained,2,2,0.1,baseline,,-0.005,8.195,0.336
freerun,lowBio,unconstrained,2,2,0.1,sham,,-0.004,40.301,-1.144
freerun,lowBio,unconstrained,2,2,0.1,fast_pulses,1.3,-0.010,93.216,-7.485
freerun,lowBio,unconstrained,2,2,0.1,fast_pulses,1.7,-0.034,36.636,0.137
freerun,lowBio,unconstrained,2,2,0.1,fast_pulses,2.0,-0.038,50.283,0.264
freerun,lowBio,unconstrained,2,2,0.1,pulse,1.3,-0.006,45.269,-2.090
freerun,lowBio,unconstrained,2,2,0.1,pulse,1.7,-0.019,34.044,-0.101
freerun,lowBio,unconstrained,2,2,0.1,pulse,2.0,-0.031,30.676,-0.208
freerun,lowBio,unconstrained,2,2,0.1,raised_cosine,1.3,-0.039,44.615,-1.957
freerun,lowBio,unconstrained,2,2,0.1,raised_cosine,1.7,-0.078,50.862,-0.350
freerun,lowBio,unconstrained,2,2,0.1,raised_cosine,2.0,-0.067,48.833,-0.324
freerun,lowBio,unconstrained,2,2,1.0,baseline,,-0.000,10.440,0.220
freerun,lowBio,unconstrained,2,2,1.0,sham,,0.003,37.421,-0.997
freerun,lowBio,unconstrained,2,2,1.0,fast_pulses,1.3,-0.016,148.495,-12.322
freerun,lowBio,unconstrained,2,2,1.0,fast_pulses,1.7,-0.063,61.430,-0.374
freerun,lowBio,unconstrained,2,2,1.0,fast_pulses,2.0,-0.082,35.097,0.466
freerun,lowBio,unconstrained,2,2,1.0,pulse,1.3,-0.042,42.025,-1.890
freerun,lowBio,unconstrained,2,2,1.0,pulse,1.7,-0.053,46.172,-0.429
freerun,lowBio,unconstrained,2,2,1.0,pulse,2.0,-0.051,50.245,-0.852
freerun,lowBio,unconstrained,2,2,1.0,raised_cosine,1.3,-0.022,63.275,-2.993
freerun,lowBio,unconstrained,2,2,1.0,raised_cosine,1.7,-0.046,58.742,-0.536
freerun,lowBio,unconstrained,2,2,1.0,raised_cosine,2.0,-0.048,41.092,-0.094
freerun,lowBio,unconstrained,2,5,0.01,baseline,,0.007,8.729,0.242
freerun,lowBio,unconstrained,2,5,0.01,sham,,-0.001,44.335,-1.373
freerun,lowBio,unconstrained,2,5,0.01,fast_pulses,1.3,-0.003,53.360,-4.059
freerun,lowBio,unconstrained,2,5,0.01,fast_pulses,1.7,-0.002,80.220,-0.805
freerun,lowBio,unconstrained,2,5,0.01,fast_pulses,2.0,-0.006,81.209,-0.155
freerun,lowBio,unconstrained,2,5,0.01,pulse,1.3,-0.010,26.455,-0.981
freerun,lowBio,unconstrained,2,5,0.01,pulse,1.7,0.003,37.726,-0.237
freerun,lowBio,unconstrained,2,5,0.01,pulse,2.0,0.007,42.329,-0.665
freerun,lowBio,unconstrained,2,5,0.01,raised_cosine,1.3,-0.015,27.057,-0.939
freerun,lowBio,unconstrained,2,5,0.01,raised_cosine,1.7,-0.017,32.081,0.040
freerun,lowBio,unconstrained,2,5,0.01,raised_cosine,2.0,-0.055,34.324,-0.011
freerun,lowBio,unconstrained,2,5,0.1,baseline,,0.001,8.466,0.254
freerun,lowBio,unconstrained,2,5,0.1,sham,,-0.017,38.403,-1.112
freerun,lowBio,unconstrained,2,5,0.1,fast_pulses,1.3,0.005,77.137,-6.244
freerun,lowBio,unconstrained,2,5,0.1,fast_pulses,1.7,-0.022,61.179,-0.452
freerun,lowBio,unconstrained,2,5,0.1,fast_pulses,2.0,-0.035,106.031,-0.502
freerun,lowBio,unconstrained,2,5,0.1,pulse,1.3,-0.011,41.942,-1.997
freerun,lowBio,unconstrained,2,5,0.1,pulse,1.7,-0.019,42.869,-0.382
freerun,lowBio,unconstrained,2,5,0.1,pulse,2.0,-0.012,41.107,-0.632
freerun,lowBio,unconstrained,2,5,0.1,raised_cosine,1.3,-0.047,415.781,-23.572
freerun,lowBio,unconstrained,2,5,0.1,raised_cosine,1.7,-0.088,404.815,-8.745
freerun,lowBio,unconstrained,2,5,0.1,raised_cosine,2.0,-0.121,470.342,-10.325
freerun,lowBio,unconstrained,2,5,1.0,baseline,,0.003,29.429,-0.873
freerun,lowBio,unconstrained,2,5,1.0,sham,,0.005,35.931,-1.001
freerun,lowBio,unconstrained,2,5,1.0,fast_pulses,1.3,-0.012,849.409,-73.506
freerun,lowBio,unconstrained,2,5,1.0,fast_pulses,1.7,-0.067,859.721,-16.422
freerun,lowBio,unconstrained,2,5,1.0,fast_pulses,2.0,-0.079,930.313,-11.174
freerun,lowBio,unconstrained,2,5,1.0,pulse,1.3,-0.021,502.173,-28.911
freerun,lowBio,unconstrained,2,5,1.0,pulse,1.7,-0.055,343.609,-8.478
freerun,lowBio,unconstrained,2,5,1.0,pulse,2.0,-0.043,384.713,-11.753
freerun,lowBio,unconstrained,2,5,1.0,raised_cosine,1.3,-0.059,782.448,-44.655
freerun,lowBio,unconstrained,2,5,1.0,raised_cosine,1.7,-0.075,959.306,-21.660
freerun,lowBio,unconstrained,2,5,1.0,raised_cosine,2.0,-0.100,995.593,-22.735
freerun,lowBio,unconstrained,3,2,0.01,baseline,,0.001,26.522,-0.625
freerun,lowBio,unconstrained,3,2,0.01,sham,,0.014,91.767,-3.513
freerun,lowBio,unconstrained,3,2,0.01,fast_pulses,1.3,0.003,123.521,-10.160
freerun,lowBio,unconstrained,3,2,0.01,fast_pulses,1.7,0.001,94.937,-1.090
freerun,lowBio,unconstrained,3,2,0.01,fast_pulses,2.0,-0.015,104.635,-0.466
freerun,lowBio,unconstrained,3,2,0.01,pulse,1.3,0.004,121.673,-6.554
freerun,lowBio,unconstrained,3,2,0.01,pulse,1.7,-0.013,76.829,-1.273
freerun,lowBio,unconstrained,3,2,0.01,pulse,2.0,0.001,65.936,-1.357
freerun,lowBio,unconstrained,3,2,0.01,raised_cosine,1.3,-0.013,68.356,-3.280
freerun,lowBio,unconstrained,3,2,0.01,raised_cosine,1.7,-0.020,84.947,-1.139
freerun,lowBio,unconstrained,3,2,0.01,raised_cosine,2.0,-0.019,79.700,-1.090
freerun,lowBio,unconstrained,3,2,0.1,baseline,,-0.005,28.865,-0.757
freerun,lowBio,unconstrained,3,2,0.1,sham,,0.004,81.732,-3.025
freerun,lowBio,unconstrained,3,2,0.1,fast_pulses,1.3,-0.009,176.621,-14.786
freerun,lowBio,unconstrained,3,2,0.1,fast_pulses,1.7,-0.009,130.331,-1.820
freerun,lowBio,unconstrained,3,2,0.1,fast_pulses,2.0,-0.036,144.064,-0.965
freerun,lowBio,unconstrained,3,2,0.1,pulse,1.3,-0.004,94.046,-4.924
freerun,lowBio,unconstrained,3,2,0.1,pulse,1.7,0.006,74.103,-1.223
freerun,lowBio,unconstrained,3,2,0.1,pulse,2.0,-0.013,85.069,-1.988
freerun,lowBio,unconstrained,3,2,0.1,raised_cosine,1.3,-0.035,379.530,-21.421
freerun,lowBio,unconstrained,3,2,0.1,raised_cosine,1.7,-0.091,496.092,-10.759
freerun,lowBio,unconstrained,3,2,0.1,raised_cosine,2.0,-0.094,492.786,-10.879
freerun,lowBio,unconstrained,3,2,1.0,baseline,,0.006,35.007,-1.078
freerun,lowBio,unconstrained,3,2,1.0,sham,,0.005,89.123,-3.393
freerun,lowBio,unconstrained,3,2,1.0,fast_pulses,1.3,-0.013,406.712,-34.760
freerun,lowBio,unconstrained,3,2,1.0,fast_pulses,1.7,-0.036,351.012,-6.204
freerun,lowBio,unconstrained,3,2,1.0,fast_pulses,2.0,-0.025,311.231,-3.141
freerun,lowBio,unconstrained,3,2,1.0,pulse,1.3,-0.012,178.360,-9.794
freerun,lowBio,unconstrained,3,2,1.0,pulse,1.7,-0.006,129.395,-2.689
freerun,lowBio,unconstrained,3,2,1.0,pulse,2.0,-0.012,124.340,-3.278
freerun,lowBio,unconstrained,3,2,1.0,raised_cosine,1.3,-0.032,306.944,-17.186
freerun,lowBio,unconstrained,3,2,1.0,raised_cosine,1.7,-0.035,345.607,-7.271
freerun,lowBio,unconstrained,3,2,1.0,raised_cosine,2.0,-0.036,212.532,-4.200
freerun,lowBio,unconstrained,3,5,0.01,baseline,,-0.003,26.944,-0.526
freerun,lowBio,unconstrained,3,5,0.01,sham,,0.001,20.383,-0.112
freerun,lowBio,unconstrained,3,5,0.01,fast_pulses,1.3,0.005,11.055,-0.316
freerun,lowBio,unconstrained,3,5,0.01,fast_pulses,1.7,0.003,81.699,-0.710
freerun,lowBio,unconstrained,3,5,0.01,fast_pulses,2.0,-0.004,156.979,-1.091
freerun,lowBio,unconstrained,3,5,0.01,pulse,1.3,-0.003,20.924,-0.462
freerun,lowBio,unconstrained,3,5,0.01,pulse,1.7,-0.010,59.657,-0.693
freerun,lowBio,unconstrained,3,5,0.01,pulse,2.0,-0.000,52.940,-0.838
freerun,lowBio,unconstrained,3,5,0.01,raised_cosine,1.3,-0.013,33.111,-1.152
freerun,lowBio,unconstrained,3,5,0.01,raised_cosine,1.7,-0.029,68.542,-0.699
freerun,lowBio,unconstrained,3,5,0.01,raised_cosine,2.0,-0.058,77.290,-0.917
freerun,lowBio,unconstrained,3,5,0.1,baseline,,-0.001,25.949,-0.470
freerun,lowBio,unconstrained,3,5,0.1,sham,,0.000,19.593,-0.080
freerun,lowBio,unconstrained,3,5,0.1,fast_pulses,1.3,-0.003,8.076,0.025
freerun,lowBio,unconstrained,3,5,0.1,fast_pulses,1.7,-0.022,69.677,-0.509
freerun,lowBio,unconstrained,3,5,0.1,fast_pulses,2.0,-0.021,111.862,-0.517
freerun,lowBio,unconstrained,3,5,0.1,pulse,1.3,-0.014,19.544,-0.415
freerun,lowBio,unconstrained,3,5,0.1,pulse,1.7,-0.017,57.756,-0.655
freerun,lowBio,unconstrained,3,5,0.1,pulse,2.0,-0.009,51.782,-0.803
freerun,lowBio,unconstrained,3,5,0.1,raised_cosine,1.3,-0.069,17.439,-0.308
freerun,lowBio,unconstrained,3,5,0.1,raised_cosine,1.7,-0.114,18.134,0.449
freerun,lowBio,unconstrained,3,5,0.1,raised_cosine,2.0,-0.147,33.652,0.064
freerun,lowBio,unconstrained,3,5,1.0,baseline,,0.004,25.988,-0.478
freerun,lowBio,unconstrained,3,5,1.0,sham,,0.003,20.388,-0.127
freerun,lowBio,unconstrained,3,5,1.0,fast_pulses,1.3,-0.006,115.334,-9.340
freerun,lowBio,unconstrained,3,5,1.0,fast_pulses,1.7,-0.048,47.020,-0.069
freerun,lowBio,unconstrained,3,5,1.0,fast_pulses,2.0,-0.039,65.117,0.093
freerun,lowBio,unconstrained,3,5,1.0,pulse,1.3,-0.065,13.603,-0.101
freerun,lowBio,unconstrained,3,5,1.0,pulse,1.7,-0.087,29.952,0.045
freerun,lowBio,unconstrained,3,5,1.0,pulse,2.0,-0.080,32.316,-0.227
freerun,lowBio,unconstrained,3,5,1.0,raised_cosine,1.3,-0.049,134.645,-7.042
freerun,lowBio,unconstrained,3,5,1.0,raised_cosine,1.7,-0.070,125.068,-2.048
freerun,lowBio,unconstrained,3,5,1.0,raised_cosine,2.0,-0.089,118.352,-1.920
freerun,lowRNN,dale,1,2,0.01,baseline,,0.006,15.395,-0.002
freerun,lowRNN,dale,1,2,0.01,sham,,0.017,81.861,-3.013
freerun,lowRNN,dale,1,2,0.01,fast_pulses,1.3,-0.005,80.265,-6.347
freerun,lowRNN,dale,1,2,0.01,fast_pulses,1.7,0.011,46.204,-0.054
freerun,lowRNN,dale,1,2,0.01,fast_pulses,2.0,0.031,72.083,-0.021
freerun,lowRNN,dale,1,2,0.01,pulse,1.3,-0.030,68.222,-3.327
freerun,lowRNN,dale,1,2,0.01,pulse,1.7,0.033,53.391,-0.633
freerun,lowRNN,dale,1,2,0.01,pulse,2.0,0.024,41.019,-0.527
freerun,lowRNN,dale,1,2,0.01,raised_cosine,1.3,0.082,46.016,-2.002
freerun,lowRNN,dale,1,2,0.01,raised_cosine,1.7,0.080,66.318,-0.677
freerun,lowRNN,dale,1,2,0.01,raised_cosine,2.0,0.177,42.451,-0.130
freerun,lowRNN,dale,1,2,0.1,baseline,,0.006,20.862,-0.298
freerun,lowRNN,dale,1,2,0.1,sham,,-0.004,67.469,-2.339
freerun,lowRNN,dale,1,2,0.1,fast_pulses,1.3,0.016,61.722,-4.709
freerun,lowRNN,dale,1,2,0.1,fast_pulses,1.7,0.129,47.472,-0.073
freerun,lowRNN,dale,1,2,0.1,fast_pulses,2.0,0.148,78.928,-0.093
freerun,lowRNN,dale,1,2,0.1,pulse,1.3,0.064,46.687,-2.110
freerun,lowRNN,dale,1,2,0.1,pulse,1.7,0.095,45.422,-0.414
freerun,lowRNN,dale,1,2,0.1,pulse,2.0,0.124,61.606,-1.217
freerun,lowRNN,dale,1,2,0.1,raised_cosine,1.3,0.099,31.667,-1.099
freerun,lowRNN,dale,1,2,0.1,raised_cosine,1.7,0.158,42.695,-0.099
freerun,lowRNN,dale,1,2,0.1,raised_cosine,2.0,0.199,52.158,-0.351
freerun,lowRNN,dale,1,2,1.0,baseline,,0.005,19.773,-0.247
freerun,lowRNN,dale,1,2,1.0,sham,,-0.027,62.963,-2.137
freerun,lowRNN,dale,1,2,1.0,fast_pulses,1.3,0.012,51.703,-3.868
freerun,lowRNN,dale,1,2,1.0,fast_pulses,1.7,0.116,54.068,-0.194
freerun,lowRNN,dale,1,2,1.0,fast_pulses,2.0,0.137,82.147,-0.124
freerun,lowRNN,dale,1,2,1.0,pulse,1.3,0.078,64.566,-3.124
freerun,lowRNN,dale,1,2,1.0,pulse,1.7,0.107,63.651,-0.906
freerun,lowRNN,dale,1,2,1.0,pulse,2.0,0.097,78.450,-1.764
freerun,lowRNN,dale,1,2,1.0,raised_cosine,1.3,0.072,24.507,-0.724
freerun,lowRNN,dale,1,2,1.0,raised_cosine,1.7,0.093,36.509,0.045
freerun,lowRNN,dale,1,2,1.0,raised_cosine,2.0,0.123,49.476,-0.284
freerun,lowRNN,dale,1,5,0.01,baseline,,0.004,26.940,-0.622
freerun,lowRNN,dale,1,5,0.01,sham,,-0.009,94.077,-3.583
freerun,lowRNN,dale,1,5,0.01,fast_pulses,1.3,-0.003,115.426,-9.426
freerun,lowRNN,dale,1,5,0.01,fast_pulses,1.7,0.003,53.053,-0.216
freerun,lowRNN,dale,1,5,0.01,fast_pulses,2.0,0.017,87.843,-0.228
freerun,lowRNN,dale,1,5,0.01,pulse,1.3,-0.001,82.520,-4.215
freerun,lowRNN,dale,1,5,0.01,pulse,1.7,0.028,61.758,-0.834
freerun,lowRNN,dale,1,5,0.01,pulse,2.0,0.014,56.075,-1.030
freerun,lowRNN,dale,1,5,0.01,raised_cosine,1.3,0.030,32.807,-1.239
freerun,lowRNN,dale,1,5,0.01,raised_cosine,1.7,-0.106,69.912,-0.762
freerun,lowRNN,dale,1,5,0.01,raised_cosine,2.0,0.044,55.758,-0.454
freerun,lowRNN,dale,1,5,0.1,baseline,,-0.014,26.985,-0.626
freerun,lowRNN,dale,1,5,0.1,sham,,0.022,79.637,-2.944
freerun,lowRNN,dale,1,5,0.1,fast_pulses,1.3,-0.002,128.226,-10.580
freerun,lowRNN,dale,1,5,0.1,fast_pulses,1.7,0.033,62.335,-0.414
freerun,lowRNN,dale,1,5,0.1,fast_pulses,2.0,0.053,66.213,0.052
freerun,lowRNN,dale,1,5,0.1,pulse,1.3,0.014,75.188,-3.802
freerun,lowRNN,dale,1,5,0.1,pulse,1.7,0.036,77.443,-1.284
freerun,lowRNN,dale,1,5,0.1,pulse,2.0,0.034,59.383,-1.143
freerun,lowRNN,dale,1,5,0.1,raised_cosine,1.3,0.087,44.219,-1.950
freerun,lowRNN,dale,1,5,0.1,raised_cosine,1.7,0.156,37.470,-0.035
freerun,lowRNN,dale,1,5,0.1,raised_cosine,2.0,0.168,47.284,-0.297
freerun,lowRNN,dale,1,5,1.0,baseline,,0.018,30.773,-0.820
freerun,lowRNN,dale,1,5,1.0,sham,,0.018,89.384,-3.403
freerun,lowRNN,dale,1,5,1.0,fast_pulses,1.3,0.007,70.693,-5.524
freerun,lowRNN,dale,1,5,1.0,fast_pulses,1.7,0.084,58.486,-0.334
freerun,lowRNN,dale,1,5,1.0,fast_pulses,2.0,0.095,77.458,-0.089
freerun,lowRNN,dale,1,5,1.0,pulse,1.3,0.055,99.557,-5.267
freerun,lowRNN,dale,1,5,1.0,pulse,1.7,0.089,73.372,-1.158
freerun,lowRNN,dale,1,5,1.0,pulse,2.0,0.054,59.385,-1.135
freerun,lowRNN,dale,1,5,1.0,raised_cosine,1.3,0.084,22.619,-0.666
freerun,lowRNN,dale,1,5,1.0,raised_cosine,1.7,0.128,25.343,0.271
freerun,lowRNN,dale,1,5,1.0,raised_cosine,2.0,0.155,28.913,0.167
freerun,lowRNN,dale,2,2,0.01,baseline,,0.001,36.971,-1.176
freerun,lowRNN,dale,2,2,0.01,sham,,-0.010,84.434,-3.183
freerun,lowRNN,dale,2,2,0.01,fast_pulses,1.3,-0.004,80.555,-6.427
freerun,lowRNN,dale,2,2,0.01,fast_pulses,1.7,0.004,50.795,-0.163
freerun,lowRNN,dale,2,2,0.01,fast_pulses,2.0,0.008,75.526,-0.061
freerun,lowRNN,dale,2,2,0.01,pulse,1.3,-0.002,92.986,-4.882
freerun,lowRNN,dale,2,2,0.01,pulse,1.7,0.013,71.281,-1.132
freerun,lowRNN,dale,2,2,0.01,pulse,2.0,-0.017,82.506,-1.916
freerun,lowRNN,dale,2,2,0.01,raised_cosine,1.3,0.073,39.687,-1.643
freerun,lowRNN,dale,2,2,0.01,raised_cosine,1.7,0.044,55.704,-0.456
freerun,lowRNN,dale,2,2,0.01,raised_cosine,2.0,0.166,50.854,-0.348
freerun,lowRNN,dale,2,2,0.1,baseline,,-0.011,33.492,-0.987
freerun,lowRNN,dale,2,2,0.1,sham,,0.014,95.300,-3.704
freerun,lowRNN,dale,2,2,0.1,fast_pulses,1.3,0.009,68.083,-5.324
freerun,lowRNN,dale,2,2,0.1,fast_pulses,1.7,0.109,71.438,-0.575
freerun,lowRNN,dale,2,2,0.1,fast_pulses,2.0,0.142,77.921,-0.104
freerun,lowRNN,dale,2,2,0.1,pulse,1.3,0.064,77.880,-3.976
freerun,lowRNN,dale,2,2,0.1,pulse,1.7,0.083,73.335,-1.191
freerun,lowRNN,dale,2,2,0.1,pulse,2.0,0.062,95.822,-2.325
freerun,lowRNN,dale,2,2,0.1,raised_cosine,1.3,0.098,21.032,-0.554
freerun,lowRNN,dale,2,2,0.1,raised_cosine,1.7,0.150,35.942,0.038
freerun,lowRNN,dale,2,2,0.1,raised_cosine,2.0,0.192,43.373,-0.155
freerun,lowRNN,dale,2,2,1.0,baseline,,0.004,27.062,-0.654
freerun,lowRNN,dale,2,2,1.0,sham,,-0.007,83.165,-3.119
freerun,lowRNN,dale,2,2,1.0,fast_pulses,1.3,0.015,33.227,-2.264
freerun,lowRNN,dale,2,2,1.0,fast_pulses,1.7,0.107,64.059,-0.438
freerun,lowRNN,dale,2,2,1.0,fast_pulses,2.0,0.134,94.488,-0.304
freerun,lowRNN,dale,2,2,1.0,pulse,1.3,0.066,102.999,-5.415
freerun,lowRNN,dale,2,2,1.0,pulse,1.7,0.064,95.900,-1.781
freerun,lowRNN,dale,2,2,1.0,pulse,2.0,0.070,79.794,-1.853
freerun,lowRNN,dale,2,2,1.0,raised_cosine,1.3,0.070,32.164,-1.182
